recalled,rt,semantics,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.440331700025126,unrelated,Erinnern,4,2,426843.0479794,427813.572095
1,0.348402399977203,unrelated,Erinnern,3,3,426853.5918206,427938.4488769
1,1.96168150001904,related,Wissen,2,2,426863.310471,427790.2205824
1,0.297371099994052,related,Erinnern,1,3,426873.0305905,427969.3873625
0,1.36709119996522,unrelated,Wissen,4,4,426883.1791957,427697.0418538
1,0.563935000041965,unrelated,Erinnern,4,1,426893.2238675,427754.3385479
1,0.306124199996702,unrelated,Erinnern,2,3,426903.0462363,427996.9412546
1,0.25649759999942,unrelated,Erinnern,3,3,426912.737003,427624.7072131
1,0.311696799995843,unrelated,Erinnern,3,1,426922.3123576,427668.0648404
1,1.21289190003881,related,Wissen,3,4,426932.0858982,427609.0938567
1,1.27495660004206,unrelated,Wissen,2,2,426942.8141283,427572.2096132
1,0.334845400007907,related,Erinnern,3,1,426952.9116886,427747.4873614
1,0.365634300047532,related,Erinnern,1,4,426962.8672501,427617.4113329
1,1.6288192999782,unrelated,Wissen,1,4,426972.6225785,427631.438563
1,0.500176000001375,unrelated,Erinnern,4,4,426982.3749943,427594.9700812
1,0.468186799960677,related,Erinnern,2,1,426991.9766406,427885.0347885
0,1.65746850002324,unrelated,Wissen,3,2,427001.7658026,427848.1391732
1,0.488822499988601,related,Wissen,3,1,427011.2129286,427705.0990144
1,0.261839299986605,related,Erinnern,4,2,427020.9914735,427976.0344945
1,0.333898899960332,related,Erinnern,2,2,427030.8034441,427726.6742916
1,0.366217800008599,related,Erinnern,3,2,427040.6393722,427799.1296607
1,0.549406100006308,related,Wissen,1,3,427050.1089209,427762.2620441
1,0.412930600054096,unrelated,Erinnern,2,4,427060.0276122,427580.6260611
1,0.547082900011446,related,Erinnern,4,3,427069.5025948,427647.1231988
1,0.311401000013575,related,Erinnern,1,1,427079.2194441,427769.644238
1,0.29074899997795,related,Erinnern,3,3,427088.8046505,427982.8845507
0,1.45225420000497,related,Vergessen,4,1,427098.2849234,427922.8957095
1,0.416289200016763,unrelated,Erinnern,3,3,427108.2399638,427916.0632872
1,0.492645000049379,unrelated,Erinnern,3,1,427118.0855851,427712.601566
1,0.392842100001872,related,Erinnern,2,1,427128.2324724,427776.5422772
1,0.278303500032052,related,Erinnern,4,3,427137.7542849,427661.0486588
1,0.333281800034456,unrelated,Erinnern,2,3,427147.5219671,427639.7740653
1,0.822211400023662,related,Erinnern,3,4,427157.924371,427689.0862709
1,0.837857899954543,unrelated,Erinnern,3,2,427167.5124922,427856.7842861
1,0.500956200005021,related,Erinnern,2,3,427177.2104992,427587.7722401
1,0.253909999970347,related,Erinnern,1,3,427186.7091409,427834.7844307
1,0.433169800031465,related,Erinnern,2,1,427196.3062196,427891.9917999
1,0.338209600013215,related,Erinnern,1,2,427206.470106,427783.5230228
1,0.352897399978247,related,Erinnern,2,4,427216.0222688,427878.2360874
1,0.260501699987799,related,Erinnern,1,3,427225.5259924,427871.464354
1,0.738348000042606,related,Erinnern,1,1,427235.2203733,427548.503641
1,0.288592600030825,unrelated,Erinnern,4,4,427244.7275093,427841.4613271
0,1.26511640002718,related,Wissen,3,2,427254.3737674,427563.6196015
1,0.368900300003588,related,Erinnern,3,4,427263.7759425,427719.6423895
1,0.284316700010095,related,Erinnern,4,1,427273.4140185,427733.8204928
1,0.693177799985278,unrelated,Erinnern,4,1,427283.0414757,427556.2658312
1,0.260494699992705,related,Erinnern,4,4,427292.5404068,427899.1882709
0,1.97389789996669,related,Vergessen,1,2,427302.5878053,427905.863092
1,0.316062099998817,related,Erinnern,1,4,427312.331696,427990.0692755
1,0.251679299981333,unrelated,Erinnern,1,4,427321.912534,427740.6324085
0,0.287430900032632,related,Erinnern,1,2,427331.5049991,427827.9593375
1,0.275774999987334,related,Erinnern,1,1,427341.0882595,427962.5320795
1,0.577585400023963,unrelated,Erinnern,2,3,427350.9562789,427805.9648934
1,0.485129999986384,related,Erinnern,2,2,427360.7366646,427602.0743306
1,0.525159000011627,related,Erinnern,4,3,427370.3574716,427541.1143455
1,1.47518559999298,related,Wissen,4,3,427380.392865,427946.1423076
1,0.41925189999165,related,Erinnern,2,4,427389.958824,427675.0161827
1,1.42966890003299,unrelated,Erinnern,4,2,427399.4789073,427954.3490408
1,0.291949699982069,unrelated,Erinnern,2,1,427409.3792822,427654.3491104
1,0.496783300011884,related,Erinnern,3,4,427419.1535529,427820.919308
1,0.978932399943005,related,Erinnern,4,2,427428.5506676,427532.9457496
1,0.374067400000058,related,Erinnern,1,1,427438.1355755,427864.1308447
1,0.429177000012714,related,Erinnern,1,2,427448.1051674,427682.1898492
1,0.309511100000236,unrelated,Erinnern,2,4,427457.6082197,427931.5533069
0,1.92526970000472,related,Vergessen,2,4,428012.5714525,429157.105817
0,1.66275070002303,related,Vergessen,1,4,428023.1956856,428868.0158966
1,0.13259759999346,related,Erinnern,3,1,428032.7692448,428777.4275551
1,0.343707499967422,related,Erinnern,4,1,428042.5844255,428936.4428814
1,1.48455069999909,unrelated,Wissen,1,4,428052.2565301,428920.1785877
1,0.286574000027031,related,Erinnern,3,1,428062.4500548,429099.6219491
1,0.256277800013777,unrelated,Erinnern,3,3,428073.3056816,428943.2439154
1,0.384902600024361,related,Erinnern,2,3,428083.5237464,429054.294318
1,0.373058099998161,related,Erinnern,2,1,428093.328226,428956.9400839
1,0.351120800012723,unrelated,Erinnern,3,4,428102.8346783,428705.7092334
1,1.49486420000903,unrelated,Wissen,3,1,428112.8262234,429061.7055472
1,0.25952820002567,related,Erinnern,4,2,428123.3660196,428990.5151865
1,0.595492199994624,related,Erinnern,4,2,428133.8974956,428884.1512148
1,0.515384900034405,related,Wissen,4,1,428143.5823199,429070.4416016
1,0.367530599993188,unrelated,Erinnern,1,2,428153.2329929,428847.3155199
1,0.398022499983199,unrelated,Erinnern,3,4,428163.0997296,428770.5095987
1,0.289777199970558,related,Erinnern,1,3,428172.6367529,428854.187878
1,0.259930900007021,related,Erinnern,2,4,428182.3239269,429143.4881401
1,0.392746799974702,related,Erinnern,4,2,428191.879696,428756.4595014
1,0.277888100012206,related,Erinnern,2,3,428201.4308601,429077.968769
1,0.26966029999312,unrelated,Erinnern,4,4,428210.9179055,429106.3652353
1,2.10219130001497,related,Vergessen,2,3,428220.7133123,429120.3618674
1,0.27782879996812,unrelated,Erinnern,1,2,428230.2346491,429150.2215947
1,1.38786120002624,related,Wissen,2,2,428240.0159442,429038.7359633
1,0.38274149998324,related,Erinnern,3,1,428249.4778035,429031.7988295
1,0.218888100003824,related,Erinnern,2,2,428259.168913,428913.6225396
1,0.208103300014045,unrelated,Erinnern,4,3,428268.5866876,428798.2605767
1,0.317592300008982,unrelated,Erinnern,1,3,428278.5719903,428877.2159175
1,0.311128500034101,related,Erinnern,2,1,428288.589556,428719.3718655
1,0.480153899989091,related,Erinnern,2,4,428299.1138082,428790.6358341
1,0.463540599972475,unrelated,Erinnern,4,4,428308.7683658,428906.5049466
1,0.300324000010733,related,Erinnern,1,1,428318.5745768,429004.1256796
1,0.261278900026809,related,Erinnern,4,4,428328.4783023,428949.7954202
1,0.642316100012977,unrelated,Wissen,3,2,428338.0910458,429113.0748243
1,0.327063400007319,related,Erinnern,2,2,428347.7603299,428840.1813238
1,0.303302199987229,unrelated,Wissen,2,1,428357.1780535,428811.5888969
1,0.376131900004111,related,Erinnern,1,2,428366.5880637,428819.0043483
1,0.289407900010701,related,Erinnern,1,1,428375.9935303,429136.549171
1,0.262650299991947,unrelated,Wissen,3,3,428386.4797745,429018.1009993
1,0.267640200036112,unrelated,Erinnern,1,3,428396.8170166,428712.6171979
1,0.258767799998168,related,Erinnern,2,2,428407.2943377,429129.9247825
1,0.250489600002766,related,Erinnern,4,2,428416.8222751,428997.4918805
1,0.990353400004096,unrelated,Wissen,1,1,428426.335502,428928.3211687
1,0.322697399999015,related,Erinnern,3,2,428436.6284241,428763.3653629
0,0.440621199959423,unrelated,Vergessen,4,3,428446.6192535,428898.3532739
1,0.280978400027379,unrelated,Erinnern,3,4,428456.8021589,428735.0782455
1,0.638494600018021,unrelated,Erinnern,2,1,428466.7622184,428698.1841105
0,1.77672369999345,unrelated,Vergessen,3,4,428476.4115536,428981.2458674
1,0.242219399951864,unrelated,Erinnern,3,3,428486.9810375,428784.0545046
