screenActuallyFlickers,ppThinksItFlickers,enc_onset
1,0,6082.4345615
1,1,6086.5352437
1,1,6090.2961928
0,0,6093.9044347
0,0,6097.4906653
1,1,6101.0017666
1,1,6104.5436163
1,0,6108.1113316
1,1,6111.7189916
1,1,6115.3511091
1,0,6118.8873663
1,0,6122.3028814
1,1,6125.8469538
0,0,6129.3355815
1,1,6132.8472579
0,0,6136.1035405
1,0,6139.4477091
0,0,6142.6469405
1,0,6145.8314824
1,1,6149.0708764
1,1,6152.5599807
1,1,6155.8944632
1,1,6159.2231213
0,0,6162.4717917
1,0,6165.8232137
0,0,6169.2878927
1,1,6172.7822748
1,0,6176.3823549
0,0,6179.7274323
1,1,6183.040189
1,1,6186.3458134
1,1,6189.8235859
1,1,6193.0795101
0,0,6196.3673731
1,1,6199.5381966
1,1,6202.9122876
1,0,6206.247928
0,0,6209.7201268
1,0,6213.1668156
1,1,6216.5584557
0,0,6225.9903109
1,1,6229.5433646
0,0,6233.1189453
1,0,6236.6464854
1,1,6240.1265764
1,0,6243.8319005
1,1,6247.3430579
1,1,6250.8393839
0,0,6254.2312206
1,0,6257.6232254
1,1,6261.0945115
1,0,6264.2717338
0,0,6267.8552259
1,1,6271.2714743
1,1,6274.6790253
1,1,6278.1430199
1,1,6281.6230292
1,0,6285.0708089
0,0,6288.5356068
1,1,6292.1028331
0,0,6295.7504196
1,1,6299.1504124
1,0,6302.4629172
1,1,6306.0161809
1,1,6309.366827
1,1,6312.8070193
0,0,6316.399271
1,0,6319.9585107
1,1,6323.5114489
0,0,6326.927606
1,1,6330.407167
1,0,6333.7199435
1,0,6337.1910305
1,1,6340.6390477
1,1,6344.1350413
1,1,6347.7526298
1,1,6351.2240453
0,0,6354.7111708
0,0,6358.2158379
1,0,6361.4467934
1,1,6372.0291368
1,0,6375.640042
1,1,6379.159744
1,1,6382.8950853
1,1,6386.3033771
1,0,6389.9991994
0,0,6393.4634479
0,0,6398.8067558
0,0,6402.3268947
1,1,6405.726739
0,0,6409.1037649
1,0,6412.5601199
1,0,6416.0558337
1,1,6419.606705
1,1,6423.1677785
1,1,6426.5196055
0,0,6430.0391593
1,0,6433.5587997
1,1,6437.0631108
1,1,6440.5027989
1,0,6444.0148185
1,1,6447.4387136
0,0,6450.9425524
1,1,6454.5587087
1,0,6457.967121
1,1,6461.4546808
1,0,6465.0066845
0,0,6468.3596092
0,0,6471.8078035
1,1,6475.255745
1,1,6478.5830818
1,1,6481.9673348
1,0,6485.3749677
1,1,6488.6798619
1,1,6492.1185805
0,0,6495.5023146
1,0,6498.9181751
1,1,6502.4468253
0,0,6505.9424942
1,1,6509.4152655
