screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,0,2,10674.1560342
1,1,3,10679.5699902
1,0,1,10683.2421661
1,0,1,10686.8580775
0,0,4,10690.4428276
0,0,4,10694.0507282
1,0,2,10697.6012061
1,1,3,10701.969558
1,1,3,10706.3772318
1,1,3,10710.1611302
1,0,1,10713.7772109
1,0,2,10718.2816414
0,0,4,10721.9618674
1,0,1,10725.5534502
1,0,2,10729.0818901
0,0,4,10732.8258714
1,1,2,10736.5129812
0,0,4,10740.1868579
1,0,1,10743.8260465
1,1,3,10747.4338106
1,0,2,10750.929597
1,1,3,10754.5290162
0,0,4,10758.169893
1,0,1,10761.7446805
1,1,3,10765.1451107
1,0,2,10768.7765413
1,0,1,10772.3778434
0,0,4,10776.1688532
1,1,3,10779.8653062
0,0,4,10783.8409602
1,0,1,10787.2984134
1,1,2,10790.8569181
0,0,4,10794.2898923
1,1,3,10797.9051266
0,0,4,10801.4803722
1,1,3,10805.0328507
1,0,1,10808.4810525
1,1,2,10812.0331117
1,0,1,10815.5615872
1,1,2,10819.5293082
1,1,3,10829.27557
0,0,4,10832.8500107
1,1,2,10836.3535023
1,0,1,10840.1777965
1,0,1,10843.9133963
0,0,4,10847.5289697
1,1,2,10851.8737839
1,1,3,10855.3383617
0,0,4,10858.9539266
1,1,3,10862.7446161
1,1,3,10866.1613084
1,0,1,10870.0657524
0,0,4,10873.9859575
1,0,2,10877.4654307
1,1,2,10881.0486557
1,0,1,10884.7140557
1,1,3,10888.5863034
1,1,2,10892.2882763
0,0,4,10895.84979
1,1,3,10899.3767594
1,0,1,10902.969825
1,1,2,10906.6409168
1,0,1,10910.3137196
0,0,4,10913.9692973
1,0,2,10917.3698132
1,0,2,10921.3462037
1,1,3,10925.6339707
1,1,3,10929.2173743
1,0,1,10933.3297255
1,0,1,10937.1689449
0,0,4,10940.7057971
0,0,4,10944.2973678
1,0,1,10947.9133086
0,0,4,10951.7134288
1,0,2,10955.3054598
0,0,4,10958.7205159
1,0,1,10962.297722
1,1,3,10965.953573
1,0,2,10969.7369279
1,0,3,10973.7682041
1,0,1,10984.1776221
1,1,3,10988.2338879
1,0,2,10991.5057108
1,1,3,10995.0168364
1,0,1,10998.6341103
1,1,2,11002.161662
0,0,4,11005.6974882
0,0,4,11009.346138
0,0,4,11012.9529612
1,0,1,11016.4899439
1,1,2,11020.3056286
0,0,4,11023.8573802
1,1,3,11027.5452107
1,0,1,11031.265994
1,1,2,11036.0339676
1,1,3,11039.5133271
1,0,1,11043.2178783
1,0,1,11046.7620173
0,0,4,11050.8975431
1,0,3,11055.1772146
1,0,2,11060.065947
0,0,4,11063.7210534
1,1,3,11068.3449132
1,0,2,11072.1692381
1,1,3,11076.0419427
1,0,2,11079.401467
1,1,3,11083.2741313
0,0,4,11086.7930139
1,1,2,11090.3057095
0,0,4,11093.8007399
1,0,1,11097.3130375
1,0,1,11101.4659532
1,1,2,11105.1138212
0,0,4,11109.1137745
1,1,3,11112.6901329
1,0,1,11116.1865329
1,1,2,11120.3211685
0,0,4,11123.5780403
1,1,3,11127.1293813
1,0,1,11130.561327
