recalled,rt,semantics,flicker,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.947777,,no flicker,Wissen,2,1,620164.3663,620918.4846
1,1.8825679,unrelated,,Wissen,2,2,620175.5985,620926.2293
1,2.6109087,unrelated,,,2,1,620186.742,620880.1295
1,1.4605494,,no flicker,Erinnern,1,2,620198.0227,621060.2448
NaN,NaN,,no flicker,Erinnern,2,2,620208.3496,620830.245
1,1.9977278,unrelated,,Wissen,2,1,620218.9746,620782.9338
1,2.8898622,,no flicker,Wissen,2,2,620229.2949,620841.4689
1,1.0003368,,no flicker,Wissen,1,1,620239.2306,620935.0135
1,1.8065165,unrelated,,Wissen,1,2,620249.398,621024.8052
NaN,NaN,unrelated,,Vergessen,1,2,620260.2946,621005.0041
0,2.2843941,unrelated,,Vergessen,1,1,620270.4458,620891.1682
1,1.1795001,,no flicker,Wissen,1,1,620280.9651,620812.2941
NaN,NaN,,no flicker,Vergessen,1,2,620291.8772,620987.1319
1,1.0543374,unrelated,,Wissen,1,1,620302.3019,621113.021
1,2.6732883,unrelated,,Erinnern,2,2,620312.8051,621192.3401
1,2.5121018,,no flicker,Erinnern,2,1,620322.9894,620900.3973
1,2.2721675,,flicker seen,Wissen,2,1,620333.7889,621033.6363
0,1.3639088,,flicker seen,Erinnern,2,1,620343.7981,620773.8455
1,0.6225707,unrelated,,Wissen,2,1,620354.6617,621166.0524
1,1.1110915,,no flicker,Wissen,1,2,620365.0538,620803.39
1,1.6704988,unrelated,,Erinnern,1,2,620375.4535,620820.9573
1,2.959999,unrelated,,Erinnern,1,2,620386.1088,621093.9648
NaN,NaN,,no flicker,Vergessen,1,1,620396.7098,621104.005
1,2.2192406,unrelated,,Wissen,1,1,620408.4296,620968.2975
1,1.1320452,,no flicker,Wissen,1,1,620418.341,621085.8842
1,1.2879333,unrelated,,Erinnern,2,2,620428.3084,621120.6211
1,2.0246276,related,,Wissen,2,2,620439.1728,621128.7087
0,0.6767208,related,,Erinnern,2,2,620449.4848,621183.5246
0,2.0542668,,no flicker,Vergessen,2,2,620459.6296,620977.9244
0,1.8324578,,no flicker,,1,2,620469.5252,620869.7811
1,1.3754797,,,Erinnern,2,1,620480.3329,621042.8683
1,1.7739199,unrelated,,Erinnern,1,1,620491.8845,621156.437
NaN,NaN,,no flicker,Erinnern,1,1,620502.2698,620959.6996
1,1.0729535,unrelated,,Wissen,2,2,620512.541,620942.8788
1,0.6148645,,flicker seen,Erinnern,2,2,620522.9647,621016.2765
1,1.55647,,no flicker,Wissen,2,1,620532.8454,620951.0942
1,0.8379913,unrelated,,Erinnern,1,2,620543.0457,620997.085
1,1.0640296,related,,Erinnern,1,1,620553.7097,621077.8683
1,1.9449318,,no flicker,Wissen,1,1,620563.5096,621051.4931
0,2.9259807,,no flicker,Erinnern,1,1,620573.7648,620792.6604
0,1.0714299,unrelated,,Erinnern,1,2,620584.6139,621146.7168
NaN,NaN,unrelated,,Vergessen,2,1,620595.5246,621173.6761
0,0.9110951,related,,Erinnern,2,2,620606.0133,621138.6762
1,1.2391045,unrelated,,Wissen,1,2,620617.0769,620910.2052
NaN,NaN,unrelated,,Vergessen,2,1,620628.2134,620764.4195
0,1.1595582,,no flicker,Wissen,2,2,620639.6055,621068.7956
1,1.6238816,,no flicker,Wissen,2,1,620649.8852,620851.7816
0,1.9561154,,no flicker,Erinnern,1,2,620660.6452,620860.5245
1,1.1877765,,no flicker,Erinnern,2,2,621210.6051,622119.0362
1,2.4621869,,no flicker,Vergessen,2,1,621221.0284,622091.908
0,2.5723793,unrelated,,Vergessen,2,1,621231.029,621978.3319
0,0.3810172,,no flicker,Vergessen,1,1,621241.748,622048.1082
NaN,NaN,unrelated,,Wissen,1,1,621251.821,621891.2278
0,1.6374475,,no flicker,Vergessen,1,1,621262.1244,621942.5708
0,1.1150222,unrelated,,Vergessen,2,1,621272.0369,621873.8331
0,2.4397584,,no flicker,Erinnern,2,2,621283.1073,621825.5001
1,1.376604,unrelated,,Erinnern,1,2,621293.5399,622039.5314
0,0.6650313,unrelated,,Vergessen,1,2,621304.4048,621882.9073
0,1.7203553,unrelated,,Vergessen,2,2,621314.9882,621899.919
NaN,NaN,unrelated,,Wissen,2,1,621324.764,621854.6639
1,2.123158,,no flicker,Wissen,2,2,621334.9805,622162.1548
1,2.3746749,,no flicker,Vergessen,1,2,621345.3563,621988.2109
1,2.6489661,,no flicker,Erinnern,1,2,621355.7321,622014.7472
1,1.184206,unrelated,,Wissen,1,1,621366.9485,622102.1632
1,1.2249485,,no flicker,Erinnern,1,2,621377.3092,622054.8993
0,2.2393167,unrelated,,Erinnern,1,1,621387.6291,621834.6671
1,0.3520419,unrelated,,Vergessen,2,1,621398.0206,621918.2441
1,2.3046059,unrelated,,Erinnern,2,2,621408.0131,622063.4675
1,0.3422851,,no flicker,Wissen,2,2,621418.7007,621997.4597
0,1.1377619,,no flicker,Vergessen,2,2,621428.6366,622073.3236
1,2.5973675,unrelated,,Vergessen,2,1,621438.6129,621932.6041
0,1.7099401,,no flicker,Vergessen,2,2,621448.2048,621909.1712
1,1.1199586,unrelated,,Erinnern,2,1,621458.5407,621968.6832
0,0.7541553,unrelated,,Wissen,1,1,621468.9725,622171.2518
NaN,NaN,,no flicker,,1,2,621479.9076,621843.708
1,0.4634439,unrelated,,Wissen,1,2,621491.3489,622144.9799
1,1.81157,unrelated,,Vergessen,1,2,621501.3561,622082.8994
1,1.4330899,,no flicker,Vergessen,1,1,621511.6681,622197.6355
0,2.8687024,,no flicker,Vergessen,2,1,621521.6199,622187.4679
1,1.5235912,,no flicker,Erinnern,1,1,621531.5811,621798.7238
NaN,NaN,,no flicker,Vergessen,2,1,621541.2757,622152.1472
0,0.9767777,,no flicker,Erinnern,1,2,621551.1477,621817.6125
0,2.1284283,unrelated,,Erinnern,1,2,621561.6836,622004.8201
1,0.3779898,,no flicker,Wissen,1,1,621571.8919,622024.5402
0,2.7576382,unrelated,,Vergessen,2,2,621581.7167,621807.0363
0,1.2187626,,no flicker,Erinnern,2,2,621592.2122,622031.6121
