task,correct,enc_freq,enc_onset
WM,1,1,19525.2207390184
WM,1,2,19534.6745375164
WM,1,2,19544.0283536347
WM,1,3,19553.1667938572
DM,1,2,19562.0129210776
WM,1,3,19571.0744244551
WM,1,1,19579.859002596
WM,1,3,19590.0282039551
WM,1,2,19598.5435486796
WM,1,1,19607.0589151368
WM,1,2,19616.0665858572
WM,1,1,19624.620402696
WM,1,3,19633.5819147776
WM,1,2,19642.5741781552
WM,1,4,19651.1972368368
WM,1,2,19660.0971989756
WM,1,3,19669.089505296
WM,1,2,19677.535616298
WM,1,3,19686.8509667164
DM,0,4,19696.8509375164
WM,1,2,19705.6278147143
WM,1,3,19715.1200992347
DM,1,4,19723.7431424552
WM,1,1,19732.9123493572
WM,1,1,19741.5354043572
WM,1,2,19750.1892190164
WM,1,4,19758.7045832572
WM,1,1,19768.3199268164
WM,1,1,19777.3891263551
DM,1,2,19786.381417698
WM,1,2,19795.9352282572
WM,1,2,19804.7198034552
DM,1,4,19813.6967081368
WM,1,4,19824.2428198164
DM,1,4,19833.073554996
WM,1,4,19842.3965960756
WM,0,4,19851.1196504164
WM,1,2,19860.4811556368
WM,1,1,19869.8426717368
WM,1,2,19878.3041820164
DM,1,4,19886.7657014184
DM,1,3,19896.4502751368
WM,1,1,19905.8733106347
WM,1,3,19915.2117636184
DM,1,3,19924.7963375368
WM,1,4,19934.0655337164
DM,1,4,19942.8962744347
WM,1,4,19952.065476096
WM,1,3,19960.9885129796
DM,1,4,19970.4654191184
WM,1,1,19979.550001298
DM,1,3,19988.434595298
WM,1,2,19998.1420601796
WM,1,3,20007.1806394796
WM,1,1,20016.7189915796
WM,1,2,20025.9036244796
DM,1,3,20034.5267439184
WM,1,3,20043.8728774184
WM,1,3,20053.4882105756
DM,1,3,20062.2266563572
WM,1,3,20071.5496880347
WM,1,3,20080.3496663551
WM,1,2,20089.6188624368
WM,1,4,20098.4188532388
WM,1,1,20690.401512398
DM,1,1,20699.7553263572
WM,1,4,20709.2014447164
DM,1,2,20718.3860310368
DM,1,1,20727.3090755368
WM,1,3,20736.6398163164
WM,1,4,20746.1398064368
DM,1,2,20755.216681596
WM,1,1,20763.678179396
DM,1,2,20772.416610896
DM,1,2,20781.6935084143
DM,1,1,20790.8627197368
WM,1,1,20799.6319157368
WM,1,3,20809.2626511551
WM,1,4,20818.3855715796
DM,1,3,20826.7164334756
WM,1,4,20835.6779471551
DM,1,1,20844.5932522796
DM,1,3,20853.739422296
DM,1,2,20862.8623650796
DM,1,4,20871.6932161368
DM,1,4,20880.5085673164
DM,1,4,20889.3239190552
DM,1,4,20898.4777345756
WM,1,1,20907.131559196
WM,1,4,20915.4392231368
WM,1,1,20924.3007416776
WM,1,1,20933.2314766776
WM,1,3,20941.8237633776
DM,1,4,20951.1852633164
WM,1,1,20960.7313820368
WM,1,4,20969.5159702776
DM,1,1,20978.4467098368
WM,1,4,20987.2005360572
WM,1,4,20995.7081862164
DM,1,1,21004.5235605592
WM,1,2,21013.0850507164
DM,1,2,21022.2542596164
WM,1,4,21031.231152496
WM,1,1,21040.1619039572
WM,1,3,21049.3233945164
WM,1,2,21058.123375196
WM,1,2,21066.992575496
WM,1,2,21076.2233232388
WM,1,2,21085.1694632184
WM,1,3,21093.7232654756
DM,1,4,21102.3463066368
WM,1,2,21111.100119098
DM,1,4,21119.7924158776
WM,1,1,21128.8770084592
WM,1,4,21137.661565996
WM,1,1,21146.1384783184
WM,1,3,21155.153819296
WM,1,1,21164.3537996572
DM,1,1,21172.9383753368
DM,1,1,21182.1921974368
WM,1,2,21191.307549196
WM,1,3,21199.9536722347
WM,1,1,21208.9228842776
WM,1,2,21218.0611756796
WM,1,3,21226.5612757164
WM,1,4,21235.0381737572
WM,1,2,21243.8381386756
WM,1,3,21252.7150274143
DM,1,2,21843.4977095347
WM,1,2,21853.0822936164
WM,1,2,21862.2514876164
DM,1,3,21871.4360673347
WM,1,4,21880.282201796
DM,1,3,21888.943710296
DM,1,2,21897.7283060368
WM,1,1,21906.9590458388
DM,1,1,21916.1128451756
WM,1,1,21924.6974374164
WM,1,3,21933.5974083572
WM,1,2,21942.8281525368
DM,1,3,21952.1742738776
DM,1,1,21961.3434843184
DM,1,3,21970.1742088368
DM,1,1,21979.851107896
WM,1,2,21988.6049305572
WM,1,1,21998.0587388164
WM,1,3,22006.320238996
WM,1,3,22015.4663695368
WM,1,3,22024.3509582572
WM,1,2,22033.3432269551
DM,1,4,22042.0585918552
WM,1,4,22051.5970327368
DM,1,2,22060.1893017572
WM,1,1,22069.8046582368
DM,1,1,22078.5584704347
DM,1,1,22087.7584443368
WM,1,1,22096.6045864572
WM,1,4,22105.1199257756
DM,1,2,22113.5660453756
WM,1,3,22122.7198700388
WM,1,4,22131.6275277164
WM,1,4,22141.5044162756
DM,1,3,22150.4121211796
WM,1,3,22159.8505195572
DM,1,2,22168.9889463756
DM,1,3,22178.5119901368
WM,1,3,22187.535036596
DM,1,4,22196.1427043368
WM,1,4,22205.1349812368
WM,1,4,22214.0734175368
DM,1,1,22222.7349169347
DM,1,2,22231.8195082388
WM,1,4,22240.5887096164
DM,1,3,22250.0578968347
WM,1,4,22258.8963394756
WM,1,2,22268.557848696
DM,1,3,22277.3270451164
WM,1,4,22286.073177196
WM,1,4,22294.6039043347
DM,1,1,22303.3731154572
DM,1,3,22312.0961607164
WM,1,3,22321.5192080164
WM,1,3,22330.5268698368
WM,1,1,22339.6114589164
WM,1,1,22349.4037365776
